Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Baseline (Dummy),0.29999999999999993,5.551115123125783e-17,0.34520525295346627,5.551115123125783e-17,0.0,0.0
Linear Regression,0.06480389354846075,0.038792776120936345,0.07211545638946648,0.04014851000700269,0.9428318161730622,0.058661087090792506
Ridge Regression,0.05804318622225556,0.031083863045279478,0.06474724392521933,0.03233389313243705,0.9560473881873144,0.042249795894654045
Random Forest,0.056893346839432625,0.02552398482294041,0.06502715490214492,0.027544469555296394,0.9581491299769215,0.0345428005040936
XGBoost,0.057796732300803774,0.02683099249391351,0.0664359557227915,0.02817652001526821,0.9562994196394001,0.03639801044836202
