subject_id,speed,impulse_ns_left,impulse_ns_right,loading_rate_left,loading_rate_right,mean_ap_force_left,mean_ap_force_right,mean_ml_force_left,mean_ml_force_right,mean_vgrf_left,mean_vgrf_right,peak_ap_force_left,peak_ap_force_right,peak_ml_force_left,peak_ml_force_right,peak_vgrf_left,peak_vgrf_right,stance_duration_ms_left,stance_duration_ms_right,ai_stance_duration_ms,ai_peak_vgrf,ai_mean_vgrf,ai_impulse_ns,ai_loading_rate
GP1,0.6,636.0430145776974,592.8249301846923,1.4519641677702437,1.4861453432926275,34.414411162484825,32.7117067012411,20.61145058324533,22.24987494654611,587.122399430487,572.0151597911034,74.21769576315789,63.04741761538462,35.59506028947368,39.47434361538462,810.1059056052632,815.8330798205128,1083.2105263157894,1035.8461538461538,4.470326151541719,0.704475907962809,2.6066344790912472,7.033804499044309,2.326746187892691
GP1,0.7,599.3443520930625,598.3753727599872,1.5070976146452375,1.5428655129702333,42.08983001309777,40.947793864451235,21.571631263930122,23.91798674629073,591.8110411164457,587.7899595085919,94.37876505,82.97881141025641,37.44820965,40.087370846153846,802.951976825,809.9218577435897,1001.3,1017.8461538461538,1.63892582165348,0.8642809833236645,0.681769785838272,0.16180402025094026,2.3454643107741413
GP1,0.8,539.1148741070465,511.4675763020333,1.688237032446923,1.7804243571555471,44.02347945796802,42.93703689583013,22.606350657181945,25.149641138521353,607.4996600730794,594.6527583621772,102.65154013953487,91.4839166,38.35834541860465,41.94225235555556,804.503284511628,795.7707207777778,888.6046511627907,856.2444444444444,3.7092269812690475,1.0913835636880065,2.1373166187402193,5.263232370624081,5.3154409931716895
GP1,0.9,520.504762610587,496.8504840271489,1.8334659350877935,1.8326596393147252,50.09993724536912,48.29073826491929,25.118915416522373,26.90798964803057,611.6285656913185,600.4020943993492,114.77974795652173,102.73211438297872,43.505764478260865,45.57001965957446,818.0335879347825,813.328730212766,850.8695652173913,827.8297872340426,2.7449558433084893,0.5768010784212834,1.8525061554349675,4.650151195782037,0.04398626051971768
GP1,1.0,469.23273268672,477.72821730191,2.0674884113857352,1.9211031371339222,53.15222376233105,53.063294564257305,24.101244001507606,25.328834239611115,606.687696011535,609.315500875459,123.3561413,112.88807066,42.52908146,48.9232862,824.33490238,829.8796863,771.92,784.12,1.5680830826971088,0.6703826647333267,0.43220361108445216,1.794262923997443,7.340198788022937
GP1,1.1,479.80565896776005,458.089485741353,2.0199517410663583,2.0082912217781628,58.865544056728325,59.38150543600322,23.60963924092203,25.69189444077819,616.9652435156644,611.3715612519605,135.59447007999998,130.4332061372549,41.50686262,47.400638176470586,826.072699,822.2757089999999,782.4,749.2549019607843,4.328011224562946,0.46070235898820705,0.9107733712761742,4.63083178304379,0.5789382316682085
GP1,1.2,444.8089228743704,441.1899380306981,2.105583331603129,2.1393993225976606,65.86495271896433,65.52620700308184,24.060627836597746,26.102241662387165,605.8570877958309,608.4589718414879,151.83214225925926,141.33246626415095,44.525410666666666,49.67842698113208,841.7139687407407,845.5867529056604,726.925925925926,725.0566037735849,0.25748548816601996,0.4590508514855252,0.42853489830876657,0.816927651571755,1.5932216335945462
GP1,1.3,441.17249471375,429.2024499251182,2.1215076266443695,2.226682144813998,73.57974657954325,72.65493302875552,24.656641015305038,26.68194716611273,614.9663795751627,607.1219711753863,170.41477344444445,156.41745896363636,46.35647522222222,53.308621381818185,865.7182809074075,844.5018877454545,717.1666666666666,699.9454545454546,2.430465714523977,2.4811300382061305,1.283771078409958,2.7505490277177747,4.8376231810302235
GP1,1.4,413.1447827240517,405.4469664190431,2.443368472735594,2.5118125469393067,75.89562002636575,75.49808890391775,24.870587046547286,25.880262353462278,625.2760123797347,615.9076994844443,173.81351986206897,164.21368237931034,51.82002212068966,57.20551879310345,883.4391374482758,874.2279610172413,660.8448275862069,658.4310344827586,0.3659269714315556,1.0481138822108038,1.5095771569898833,1.8807461260309077,2.762525685013319
GP1,1.5,434.14828870185454,413.54398351335965,2.409832025613098,2.5135378547799254,86.12954796276115,86.46447887686335,25.571061540455947,27.266121849989243,627.3183847127735,612.6038459571513,200.5456545636364,187.83191019298246,54.69344603636364,59.5643209122807,891.1710870545454,878.2179502280702,696.5272727272727,669.6315789473684,3.9374182214514004,1.4641366656558823,2.373461559387001,4.861270030137497,4.212798619085198
