subject_id,speed,impulse_ns_left,impulse_ns_right,loading_rate_left,loading_rate_right,mean_ap_force_left,mean_ap_force_right,mean_ml_force_left,mean_ml_force_right,mean_vgrf_left,mean_vgrf_right,peak_ap_force_left,peak_ap_force_right,peak_ml_force_left,peak_ml_force_right,peak_vgrf_left,peak_vgrf_right,stance_duration_ms_left,stance_duration_ms_right,ai_stance_duration_ms,ai_peak_vgrf,ai_mean_vgrf,ai_impulse_ns,ai_loading_rate,ratio_impulse_ns,ratio_peak_vgrf,ratio_mean_vgrf,ratio_loading_rate,ratio_stance_duration_ms,ratio_peak_ap_force,ratio_peak_ml_force,step_freq_left,step_freq_right,step_freq_mean,vgrf_to_ap_left,vgrf_to_ml_left,vgrf_to_ap_right,vgrf_to_ml_right,impulse_per_ms_left,impulse_per_ms_right,asymmetry_score,mean_impulse_ns,mean_peak_vgrf,mean_mean_vgrf,mean_loading_rate,mean_stance_duration_ms
GP1,0.6,636.0430145776974,592.8249301846923,1.4519641677702435,1.4861453432926277,34.414411162484825,32.7117067012411,20.61145058324533,22.24987494654611,587.122399430487,572.0151597911034,74.21769576315789,63.04741761538462,35.59506028947368,39.47434361538462,810.1059056052632,815.8330798205128,1083.2105263157894,1035.8461538461538,4.470326151541719,0.704475907962809,2.6066344790912472,7.033804499044309,2.326746187892691,1.0729019347744715,0.9929799681369752,1.02641055814832,0.9770001126224612,1.0457252964581363,1.177172651478235,0.9017264640621145,0.9231815752392984,0.9653943264518046,0.9442879508455515,17.06036452747765,28.48525372143133,17.486558100296275,25.70869100007676,0.5871831921177907,0.5723098241794892,3.4283974451065555,614.4339723811948,812.969492712888,579.5687796107952,1.4690547555314355,1059.5283400809717
GP1,0.7,599.3443520930625,598.3753727599872,1.5070976146452375,1.542865512970233,42.08983001309777,40.94779386445124,21.57163126393012,23.91798674629073,591.8110411164457,587.7899595085919,94.37876505,82.97881141025641,37.44820965,40.087370846153846,802.951976825,809.9218577435897,1001.3,1017.8461538461538,1.63892582165348,0.8642809833236645,0.681769785838272,0.1618040202509402,2.3454643107741413,1.0016193502894446,0.991394378541644,1.0068410178547718,0.9768172287057364,0.983743954050786,1.1373839109767547,0.9341647720853947,0.9987016878058524,0.9824667472793229,0.9905842175425876,14.060665983499634,27.43469114021116,14.354618504096768,24.575227243979807,0.5985662160122466,0.5878839061275569,1.1384489843680996,598.8598624265248,806.4369172842949,589.8005003125188,1.5249815638077353,1009.5730769230769
GP1,0.8,539.1148741070465,511.4675763020333,1.688237032446923,1.7804243571555471,44.02347945796802,42.93703689583013,22.606350657181945,25.149641138521357,607.4996600730794,594.6527583621772,102.65154013953487,91.4839166,38.35834541860465,41.94225235555556,804.503284511628,795.7707207777778,888.6046511627907,856.2444444444444,3.709226981269048,1.0913835636880065,2.1373166187402197,5.263232370624081,5.3154409931716895,1.05405483961448,1.0109737183158927,1.0216040395512263,0.9482217122349949,1.0377931873640855,1.1220719876736767,0.9145513954146004,1.1253598534415075,1.1678907892346422,1.1466253213380748,13.799446739622148,26.8729645614021,13.849413032503122,23.64458224619976,0.6066982357132426,0.5973382713553113,3.5033201054986094,525.2912252045398,800.1370026447029,601.0762092176283,1.7343306948012351,872.4245478036175
GP1,0.9,520.504762610587,496.8504840271489,1.833465935087793,1.8326596393147248,50.09993724536912,48.29073826491929,25.118915416522373,26.90798964803057,611.6285656913185,600.4020943993492,114.77974795652172,102.73211438297872,43.50576447826087,45.57001965957446,818.0335879347825,813.328730212766,850.8695652173913,827.8297872340426,2.7449558433084893,0.5768010784212834,1.8525061554349675,4.650151195782037,0.0439862605197176,1.0476084442782703,1.0057846938725326,1.0186982547141186,1.0004399593660336,1.0278315401772744,1.117272321765229,0.954701463884932,1.1752682677567707,1.2079777937699188,1.1916230307633446,12.208170295619544,24.349322235824317,12.433069279363451,22.313153165765893,0.6117327307124937,0.6001843515286316,1.973680106693299,508.677623318868,815.6811590737743,606.0153300453338,1.8330627872012588,839.3496762257168
GP1,1.0,469.23273268672,477.72821730191,2.0674884113857352,1.9211031371339224,53.15222376233105,53.063294564257305,24.10124400150761,25.328834239611115,606.687696011535,609.315500875459,123.3561413,112.88807066,42.52908146,48.9232862,824.33490238,829.8796863,771.92,784.12,1.5680830826971088,0.6703826647333267,0.4322036110844521,1.794262923997443,7.340198788022937,0.9822169084690656,0.9933185689304901,0.9956872837468465,1.076198550417342,0.9844411569657705,1.0927296443175833,0.8693014055952767,1.2954710332676962,1.275315002805693,1.2853930180366946,11.414154537058037,25.17246395968543,11.482805692315331,24.056199946327023,0.6078774130566899,0.609253962788744,2.3610262141070537,473.480474994315,827.10729434,608.001598443497,1.9942957742598288,778.02
GP1,1.1,479.80565896776005,458.089485741353,2.0199517410663583,2.0082912217781628,58.865544056728325,59.38150543600322,23.60963924092203,25.69189444077819,616.9652435156644,611.3715612519605,135.59447007999998,130.4332061372549,41.50686262,47.400638176470586,826.072699,822.2757089999999,782.4,749.2549019607843,4.328011224562946,0.460702358988207,0.9107733712761742,4.63083178304379,0.5789382316682085,1.04740596303201,1.0046176604251362,1.009149398856972,1.0058061894419232,1.0442374123312048,1.0395701684838896,0.8756604175975794,1.278118609406953,1.3346592693394745,1.3063889393732138,10.480923151259745,26.131921679103556,10.2956561434915,23.79628184528079,0.6132485416254602,0.6113933783316498,2.1818513939078654,468.94757235455654,824.1742039999999,614.1684023838125,2.0141214814222606,765.8274509803921
GP1,1.2,444.8089228743704,441.1899380306981,2.105583331603129,2.1393993225976606,65.86495271896433,65.52620700308184,24.060627836597742,26.102241662387165,605.8570877958309,608.4589718414879,151.83214225925926,141.33246626415095,44.525410666666666,49.67842698113208,841.7139687407407,845.5867529056604,726.925925925926,725.0566037735849,0.2574854881660199,0.4590508514855252,0.4285348983087665,0.816927651571755,1.5932216335945462,1.0082027819125388,0.995420003741057,0.9957238134926625,0.9841936983725543,1.0025781740937356,1.074290616109991,0.896272554756564,1.3756559841035307,1.379202664723639,1.377429324413585,9.198474496458386,25.18043551940419,9.285734665106906,23.31060219698547,0.6119040565347735,0.608490338181196,0.7110441046253225,442.9994304525343,843.6503608232006,607.1580298186594,2.122491327100395,725.9912648497555
GP1,1.3,441.17249471375,429.2024499251182,2.121507626644369,2.226682144813998,73.57974657954325,72.65493302875552,24.65664101530504,26.68194716611273,614.9663795751627,607.1219711753863,170.41477344444445,156.41745896363636,46.35647522222222,53.308621381818185,865.7182809074075,844.5018877454545,717.1666666666666,699.9454545454546,2.430465714523977,2.4811300382061305,1.283771078409958,2.7505490277177747,4.837623181030224,1.0278890411523052,1.0251229671239621,1.0129206465458491,0.9527662632879222,1.024603648769168,1.0894869062158985,0.8695868326850578,1.3943760167325123,1.4286827545003506,1.4115293856164315,8.357821386491926,24.94120667910266,8.3562388108609,22.754035430609743,0.6151603458709041,0.6131941383973166,2.7567078079776133,435.18747231943405,855.110084326431,611.0441753752746,2.1740948857291835,708.5560606060606
GP1,1.4,413.1447827240517,405.4469664190431,2.443368472735594,2.5118125469393067,75.89562002636575,75.49808890391775,24.87058704654729,25.88026235346228,625.2760123797347,615.9076994844443,173.81351986206897,164.21368237931034,51.82002212068966,57.20551879310345,883.4391374482758,874.2279610172413,660.8448275862069,658.4310344827586,0.3659269714315556,1.0481138822108038,1.5095771569898833,1.880746126030908,2.762525685013319,1.018986000494705,1.0105363553235205,1.0152105792850654,0.9727511217797232,1.0036659771138285,1.0584594252054123,0.9058570434105904,1.5132145372955204,1.5187619471575584,1.5159882422265394,8.238631058847888,25.14118429168884,8.157924371678812,23.798356101364934,0.6251766912258342,0.6157774241877112,1.513377964335294,409.2958745715474,878.8335492327585,620.5918559320894,2.4775905098374507,659.6379310344828
GP1,1.5,434.14828870185454,413.5439835133597,2.409832025613098,2.5135378547799254,86.12954796276115,86.46447887686335,25.571061540455947,27.266121849989243,627.3183847127735,612.6038459571513,200.5456545636364,187.8319101929825,54.69344603636364,59.5643209122807,891.1710870545454,878.2179502280702,696.5272727272727,669.6315789473684,3.9374182214514,1.4641366656558823,2.373461559387001,4.861270030137497,4.212798619085198,1.049823733411489,1.0147493419180413,1.024019664343817,0.9587410911796642,1.0401649125063412,1.0676868182706098,0.9182249574692489,1.4356939622543006,1.4933584846341272,1.464526223444214,7.2834282723044135,24.532355988440052,7.085034848004795,22.46758264074115,0.6233040768122896,0.6175694165490713,3.369817019143396,423.8461361076071,884.6945186413078,619.9611153349624,2.4616849401965117,683.0794258373205
